,0
1950-01-01,1.9534878112751621
1950-02-01,5.62304394877791
1950-03-01,6.6622547218843735
1950-04-01,7.803161408168683
1950-05-01,13.850589527728228
1950-06-01,18.583678657982084
1950-07-01,20.241924516031066
1950-08-01,18.730196505559398
1950-09-01,14.706484129182597
1950-10-01,11.030693964752913
1950-11-01,7.165835964971082
1950-12-01,-0.11238495389421527
1951-01-01,3.741406422528292
1951-02-01,3.5658594976819793
1951-03-01,4.977933987710766
1951-04-01,8.273278078131712
1951-05-01,11.119890639989922
1951-06-01,15.60136105866214
1951-07-01,18.108882456332186
1951-08-01,16.87391717851185
1951-09-01,16.155087226011478
1951-10-01,10.122890313183584
1951-11-01,8.038430247130464
1951-12-01,4.057543953521964
1952-01-01,1.4260251549554193
1952-02-01,1.477399900296841
1952-03-01,7.622769421228753
1952-04-01,10.57570315894568
1952-05-01,14.135937444440694
1952-06-01,17.739666798265834
1952-07-01,20.49313320532631
1952-08-01,18.866639119927036
1952-09-01,12.511949090951347
1952-10-01,10.46859435192399
1952-11-01,4.894083145696081
1952-12-01,2.7835203227438923
1953-01-01,-0.9014541839053724
1953-02-01,1.3478947233569387
1953-03-01,6.657034679050445
1953-04-01,9.647437317364824
1953-05-01,14.56922931000399
1953-06-01,15.014625076545597
1953-07-01,17.66696733332856
1953-08-01,18.72061754549073
1953-09-01,16.079407001398696
1953-10-01,11.705715219115378
1953-11-01,6.116278250664741
1953-12-01,6.346563469919086
1954-01-01,0.7118382418077588
1954-02-01,1.205335640483745
1954-03-01,6.593191257776853
1954-04-01,7.700398180741891
1954-05-01,11.757375232716596
1954-06-01,15.58261647007148
1954-07-01,15.806192728648549
1954-08-01,16.39417310399957
1954-09-01,14.931219412838882
1954-10-01,11.859024150640463
1954-11-01,7.487455547572045
1954-12-01,4.829206246652521
1955-01-01,4.209479466620012
1955-02-01,2.7406998699209324
1955-03-01,3.861291794805078
1955-04-01,9.481107521595781
1955-05-01,12.207631182108418
1955-06-01,16.259625402670757
1955-07-01,18.90365223375573
1955-08-01,18.91480198147239
1955-09-01,15.304961493759835
1955-10-01,9.934556545264272
1955-11-01,6.112079102402121
1955-12-01,5.797118036567402
1956-01-01,3.5685165457811006
1956-02-01,-5.037573926017113
1956-03-01,5.94430439376935
1956-04-01,7.3635732865045345
1956-05-01,13.253438353628551
1956-06-01,13.832538806596249
1956-07-01,17.417215779080827
1956-08-01,16.072830765909984
1956-09-01,16.281663717730016
1956-10-01,9.949968305590668
1956-11-01,4.273296195157478
1956-12-01,4.309147607046126
1957-01-01,1.8290882740400463
1957-02-01,6.128802497580711
1957-03-01,9.160526189510621
1957-04-01,9.228170735085545
1957-05-01,11.013724711337819
1957-06-01,16.44478578860429
1957-07-01,18.22479335522961
1957-08-01,17.349046902770624
1957-09-01,14.800360373943995
1957-10-01,11.48620406755344
1957-11-01,6.0647646853021575
1957-12-01,2.832457572171524
1958-01-01,3.0011854420108555
1958-02-01,5.533348504453262
1958-03-01,4.165584503407528
1958-04-01,7.113252212045123
1958-05-01,13.710094585775428
1958-06-01,15.257215682440272
1958-07-01,17.563523447098735
1958-08-01,18.08124716348828
1958-09-01,17.109785587664714
1958-10-01,10.90540207797413
1958-11-01,5.925094008960287
1958-12-01,4.683031014334229
1959-01-01,2.57826886907546
1959-02-01,4.202677978796676
1959-03-01,8.120703175411156
1959-04-01,9.762797997346388
1959-05-01,13.538223809973058
1959-06-01,16.82305041564767
1959-07-01,20.659548689871666
1959-08-01,18.728868526183323
1959-09-01,17.293961550771094
1959-10-01,11.8492518293886
1959-11-01,6.3652507322418215
1959-12-01,5.410198148966852
1960-01-01,2.8170517592114677
1960-02-01,4.437778591768415
1960-03-01,7.45150875707009
1960-04-01,9.057353185818556
1960-05-01,14.379951739562458
1960-06-01,17.563474190187364
1960-07-01,16.725396208033054
1960-08-01,17.02031398434843
1960-09-01,14.151113513150845
1960-10-01,10.50895687514563
1960-11-01,7.887294821903302
1960-12-01,2.0955606853829325
1961-01-01,2.7263573564197023
1961-02-01,6.978287937101574
1961-03-01,7.793510799807031
1961-04-01,11.54818084081615
1961-05-01,12.505276401316353
1961-06-01,16.636875773009862
1961-07-01,17.979093320403262
1961-08-01,18.01490001632071
1961-09-01,18.927796035339444
1961-10-01,12.108869461867652
1961-11-01,5.966649131620651
1961-12-01,4.499259747067939
1962-01-01,4.3411919013413325
1962-02-01,2.9182430160427555
1962-03-01,3.162782552169897
1962-04-01,8.414151571967594
1962-05-01,11.149537489753383
1962-06-01,15.763031195882736
1962-07-01,17.71120800513299
1962-08-01,18.854446824769774
1962-09-01,15.583754534123418
1962-10-01,11.94890725225233
1962-11-01,4.521486215289222
1962-12-01,0.7817069505806515
1963-01-01,-1.9555203770304395
1963-02-01,-1.0675519638868385
1963-03-01,5.871381619949214
1963-04-01,8.849862810902358
1963-05-01,11.60088400730896
1963-06-01,15.60911855690652
1963-07-01,18.462530399025493
1963-08-01,16.252310175732116
1963-09-01,14.917897818628264
1963-10-01,11.2324033191828
1963-11-01,8.988939291369515
1963-12-01,1.0585368292677118
1964-01-01,0.6869467594992763
